n std_sort heap quick_random intro_random quick_det intro_det
10000 4441.53 12326.3 6690.67 6082.6 17195.1 15794.7
60000 30451.7 90915.5 41348.1 38315.6 100422 107302
110000 72204.3 202032 77329.2 84536.7 291153 283256
160000 122057 323508 131740 130184 520756 499440
210000 122761 545277 261777 239029 396625 335964
260000 194235 516751 213176 241246 1.03136e+06 1.12548e+06
310000 247061 703439 267382 270444 1.18332e+06 1.54597e+06
360000 222604 1.20709e+06 360409 311834 758352 725657
410000 226133 764951 297307 279414 1.15878e+06 1.1631e+06
460000 308053 855665 327265 333412 1.05381e+06 948680
510000 257162 774952 305940 298384 1.27813e+06 1.27928e+06
560000 292057 859312 330796 337869 1.51555e+06 1.60472e+06
610000 326788 990960 382444 380254 1.50877e+06 1.6522e+06
660000 344048 1.0432e+06 406431 404255 1.19728e+06 1.2007e+06
710000 394297 1.16408e+06 443116 443380 1.24246e+06 1.24302e+06
760000 443168 1.19466e+06 476505 471949 2.01803e+06 2.01736e+06
810000 442050 1.29373e+06 497507 501206 2.61994e+06 2.61824e+06
860000 527957 1.38373e+06 541423 540792 3.29655e+06 3.28238e+06
910000 494786 1.45103e+06 561910 562298 1.83251e+06 1.8774e+06
960000 517653 1.63935e+06 654579 641144 2.15707e+06 2.12509e+06
1010000 565275 1.6301e+06 633384 634764 1.84392e+06 1.85033e+06
1060000 596085 1.70038e+06 671340 684024 4.04566e+06 3.96021e+06
1110000 610298 1.84594e+06 688011 700871 7.02324e+06 7.12312e+06
1160000 637215 1.88889e+06 740527 742129 2.71024e+06 2.7068e+06
1210000 670058 1.97698e+06 776516 760494 3.29618e+06 3.34072e+06
1260000 695938 2.07156e+06 807154 811028 2.60621e+06 2.62342e+06
1310000 739412 2.16096e+06 837654 834652 3.21813e+06 3.19532e+06
1360000 751847 2.25417e+06 878813 878964 2.51701e+06 2.5047e+06
1410000 825995 2.33207e+06 922968 922124 2.92351e+06 2.9115e+06
1460000 829745 2.41679e+06 930002 938673 2.46088e+06 2.45519e+06
1510000 830910 2.52826e+06 993403 976918 5.83844e+06 5.96728e+06
1560000 963069 2.62808e+06 1.03083e+06 1.01177e+06 4.49032e+06 4.56683e+06
1610000 896717 2.68908e+06 1.0392e+06 1.15229e+06 6.55503e+06 6.09233e+06
1660000 939055 2.77518e+06 1.07207e+06 1.07794e+06 4.80392e+06 4.83099e+06
1710000 982256 2.90551e+06 1.12538e+06 1.12721e+06 4.19649e+06 4.32933e+06
1760000 993342 2.9842e+06 1.16033e+06 1.14083e+06 6.78604e+06 6.73845e+06
1810000 1.04529e+06 3.07271e+06 1.20011e+06 1.18416e+06 4.36472e+06 4.30093e+06
1860000 1.06075e+06 3.15163e+06 1.21194e+06 1.23058e+06 5.18616e+06 5.25173e+06
1910000 1.33855e+06 3.60884e+06 1.24858e+06 1.23893e+06 4.93227e+06 4.99099e+06
1960000 1.12195e+06 3.33585e+06 1.29586e+06 1.27408e+06 3.56085e+06 3.60142e+06
2010000 1.20883e+06 3.4291e+06 1.31727e+06 1.30978e+06 5.90957e+06 5.67645e+06
2060000 1.24623e+06 3.51522e+06 1.35308e+06 1.35578e+06 5.18449e+06 4.97602e+06
2110000 1.29953e+06 3.65408e+06 1.48166e+06 1.39448e+06 7.07583e+06 7.04757e+06
2160000 1.26799e+06 3.67864e+06 1.44093e+06 1.41573e+06 4.6451e+06 4.6456e+06
2210000 1.31989e+06 3.8166e+06 1.47336e+06 1.46651e+06 4.55152e+06 4.56212e+06
2260000 1.41118e+06 4.11104e+06 1.49747e+06 1.47918e+06 4.01386e+06 4.02046e+06
2310000 1.51856e+06 3.97929e+06 1.51445e+06 1.55384e+06 6.51288e+06 6.56391e+06
