n std_sort heap quick_random intro_random quick_det intro_det
10000 8190 12850.7 9533.07 6249.47 5900.87 5082.67
60000 54937.1 96036 43700.2 47757.4 41111.9 42057.1
110000 146642 223265 99940.5 101678 101343 97099.9
160000 206869 315100 161029 164684 146619 153563
210000 241888 412948 179991 181036 180198 182559
260000 294162 555836 275992 252423 242886 242196
310000 412485 695709 339264 332658 331804 331039
360000 802699 888617 375658 328133 288545 284451
410000 434480 714728 342705 342180 339237 334281
460000 533907 901850 435967 437646 420387 419942
510000 480361 803593 389954 389464 396069 397312
560000 530510 891867 432101 429372 411864 411671
610000 581499 983071 482222 471107 449479 454804
660000 682421 1.09822e+06 522216 517079 516897 512955
710000 674182 1.17326e+06 565469 552698 558749 558319
760000 741995 1.28588e+06 610482 618000 584921 577560
810000 797499 1.34182e+06 647514 649095 628179 621035
860000 836805 1.45112e+06 795088 751518 680161 673956
910000 883934 1.52847e+06 717867 731814 699547 696932
960000 946646 1.64324e+06 778706 779319 739294 738640
1010000 1.00124e+06 1.72299e+06 815979 821867 770537 776496
1060000 1.04085e+06 1.80181e+06 852152 864836 832991 832586
1110000 1.10866e+06 1.93045e+06 920550 914491 959215 949334
1160000 1.17514e+06 2.01515e+06 953841 950916 909589 906642
1210000 1.20283e+06 2.10627e+06 984552 981988 956942 948816
1260000 1.26398e+06 2.20151e+06 1.03588e+06 1.02924e+06 1.00215e+06 1.00138e+06
1310000 1.33406e+06 2.32051e+06 1.09304e+06 1.08493e+06 1.07058e+06 1.05927e+06
1360000 1.37961e+06 2.42026e+06 1.12283e+06 1.11657e+06 1.05196e+06 1.06749e+06
1410000 1.43138e+06 2.49016e+06 1.17403e+06 1.1616e+06 1.12534e+06 1.12748e+06
1460000 1.49397e+06 2.58597e+06 1.20486e+06 1.21762e+06 1.13422e+06 1.18913e+06
1510000 1.58405e+06 2.74779e+06 1.26341e+06 1.2803e+06 1.25366e+06 1.21019e+06
1560000 1.6581e+06 2.84073e+06 1.30173e+06 1.29511e+06 1.24533e+06 1.23641e+06
1610000 1.6422e+06 2.86489e+06 1.33435e+06 1.33913e+06 1.25402e+06 1.24209e+06
1660000 1.71893e+06 2.98044e+06 1.37567e+06 1.4107e+06 1.31673e+06 1.32411e+06
1710000 1.77802e+06 3.09056e+06 1.47797e+06 1.48346e+06 1.42091e+06 1.41509e+06
1760000 1.9779e+06 3.30512e+06 1.50689e+06 1.47256e+06 1.39393e+06 1.39711e+06
1810000 1.85e+06 3.27531e+06 1.51133e+06 1.51696e+06 1.45425e+06 1.46006e+06
1860000 1.93072e+06 3.38128e+06 1.55568e+06 1.56241e+06 1.51586e+06 1.51662e+06
1910000 1.96442e+06 3.48214e+06 1.62682e+06 1.63159e+06 1.53461e+06 1.55544e+06
1960000 2.01856e+06 3.60995e+06 1.65841e+06 1.66392e+06 1.62015e+06 1.61681e+06
2010000 2.08957e+06 3.67985e+06 1.70838e+06 1.70204e+06 1.61426e+06 1.61692e+06
2060000 2.15762e+06 3.77747e+06 1.74355e+06 1.74449e+06 1.71468e+06 1.69734e+06
2110000 2.16411e+06 3.88514e+06 1.77508e+06 1.7852e+06 1.71998e+06 1.7542e+06
2160000 2.27594e+06 3.99269e+06 1.81935e+06 1.83115e+06 1.7625e+06 1.76378e+06
2210000 2.30122e+06 4.10852e+06 1.89222e+06 1.90238e+06 1.77078e+06 1.77032e+06
2260000 2.4029e+06 4.27561e+06 1.92791e+06 1.92942e+06 2.02047e+06 1.99395e+06
2310000 2.42438e+06 4.35187e+06 1.98399e+06 1.9851e+06 1.98177e+06 1.97821e+06
2360000 2.44908e+06 4.42124e+06 2.00964e+06 2.01032e+06 1.969e+06 1.97243e+06
2410000 2.54314e+06 4.53683e+06 2.06625e+06 2.05553e+06 2.00037e+06 2.00545e+06
2460000 2.58204e+06 4.63602e+06 2.1104e+06 2.13342e+06 2.04086e+06 2.05491e+06
2510000 2.6598e+06 4.78163e+06 2.16208e+06 2.16351e+06 2.02722e+06 2.03584e+06
2560000 2.70237e+06 4.89168e+06 2.24926e+06 2.34077e+06 2.29125e+06 2.10306e+06
2610000 2.75651e+06 4.99472e+06 2.2703e+06 2.26458e+06 2.32855e+06 2.47863e+06
2660000 2.78702e+06 5.04277e+06 2.28816e+06 2.28813e+06 2.25144e+06 2.24926e+06
2710000 2.91938e+06 5.15372e+06 2.34685e+06 2.34402e+06 2.28022e+06 2.27892e+06
2760000 2.89726e+06 5.25891e+06 2.41919e+06 2.43756e+06 2.44094e+06 2.53231e+06
2810000 3.21718e+06 5.55774e+06 2.43836e+06 2.43966e+06 2.30862e+06 2.33769e+06
2860000 3.0383e+06 5.50365e+06 2.48105e+06 2.48289e+06 2.34258e+06 2.34542e+06
2910000 3.11928e+06 5.5975e+06 2.53002e+06 2.51643e+06 2.47937e+06 2.48718e+06
2960000 3.14169e+06 5.72041e+06 2.58704e+06 2.57547e+06 2.4346e+06 2.43657e+06
3010000 3.24846e+06 5.80974e+06 2.63706e+06 2.60754e+06 2.58151e+06 2.58817e+06
3060000 3.23988e+06 5.9145e+06 2.67033e+06 2.64564e+06 2.48973e+06 2.50099e+06
3110000 3.37566e+06 6.06433e+06 2.70302e+06 2.69965e+06 2.68149e+06 2.71185e+06
3160000 3.36746e+06 6.14735e+06 2.74083e+06 2.78632e+06 2.63559e+06 2.66575e+06
3210000 3.58399e+06 6.29721e+06 2.81698e+06 2.82338e+06 2.6977e+06 2.69069e+06
3260000 3.54988e+06 6.38162e+06 2.83489e+06 2.86253e+06 2.81188e+06 2.79977e+06
3310000 3.58588e+06 6.48624e+06 2.86922e+06 2.91612e+06 2.84993e+06 2.87578e+06
3360000 3.63024e+06 6.5898e+06 2.94674e+06 2.95402e+06 2.78613e+06 2.79717e+06
3410000 4.60798e+06 8.41608e+06 3.67782e+06 3.72192e+06 3.61348e+06 3.59978e+06
3460000 4.56063e+06 8.67743e+06 3.66939e+06 3.66977e+06 3.71231e+06 3.71137e+06
3510000 3.79192e+06 7.02376e+06 3.08142e+06 3.07175e+06 2.94789e+06 2.98424e+06
3560000 3.88516e+06 7.06821e+06 3.12465e+06 3.13328e+06 3.26111e+06 3.26829e+06
3610000 3.90857e+06 7.19162e+06 3.19528e+06 3.20508e+06 3.02689e+06 3.02297e+06
3660000 4.02571e+06 7.22557e+06 3.21113e+06 3.20631e+06 3.10532e+06 3.11838e+06
3710000 4.03809e+06 7.37216e+06 3.26774e+06 3.23755e+06 3.10286e+06 3.10537e+06
3760000 4.03199e+06 7.50015e+06 3.30642e+06 3.30551e+06 3.12413e+06 3.1346e+06
3810000 4.16984e+06 7.61676e+06 3.36475e+06 3.34147e+06 3.1945e+06 3.18767e+06
3860000 4.20959e+06 7.68245e+06 3.40447e+06 3.41719e+06 3.31415e+06 3.30368e+06
3910000 4.26916e+06 7.82868e+06 3.49846e+06 3.46825e+06 3.37386e+06 3.33761e+06
3960000 4.30326e+06 7.93742e+06 3.49455e+06 3.51703e+06 3.32418e+06 3.33742e+06
4010000 4.38462e+06 8.01147e+06 3.55132e+06 3.55995e+06 3.60287e+06 3.60595e+06
4060000 4.39712e+06 8.17812e+06 3.59593e+06 3.62968e+06 3.36453e+06 3.39555e+06
4110000 4.46586e+06 8.29789e+06 3.63863e+06 3.6507e+06 3.47793e+06 3.48946e+06
4160000 4.51982e+06 8.38278e+06 3.67325e+06 3.711e+06 3.63802e+06 3.66113e+06
4210000 5.59115e+06 1.06589e+07 4.54908e+06 4.55214e+06 4.56404e+06 4.5353e+06
4260000 5.62359e+06 1.08254e+07 4.5676e+06 4.66716e+06 4.45712e+06 4.48336e+06
4310000 5.66122e+06 1.12858e+07 4.64871e+06 4.73838e+06 4.42069e+06 4.42142e+06
4360000 5.86547e+06 1.14029e+07 4.66163e+06 4.68652e+06 4.6991e+06 4.62163e+06
4410000 5.83457e+06 1.1276e+07 4.68843e+06 4.69575e+06 4.65679e+06 4.54123e+06
4460000 6.0634e+06 1.14455e+07 4.75546e+06 4.80824e+06 4.67368e+06 4.61587e+06
4510000 6.74385e+06 1.22535e+07 4.84068e+06 4.82558e+06 4.78775e+06 4.71409e+06
4560000 6.11214e+06 1.16628e+07 5.01508e+06 5.01333e+06 4.90392e+06 4.91196e+06
4610000 6.29386e+06 1.18235e+07 4.93566e+06 4.88361e+06 4.74678e+06 4.78232e+06
4660000 5.11688e+06 1.05811e+07 4.21109e+06 4.22062e+06 4.23504e+06 4.04919e+06
4710000 5.13603e+06 9.70686e+06 4.25402e+06 4.22835e+06 3.96637e+06 3.98026e+06
4760000 9.76915e+06 2.00967e+07 7.08962e+06 6.92301e+06 6.56791e+06 6.50227e+06
4810000 9.18104e+06 2.04614e+07 7.11184e+06 7.17104e+06 6.81734e+06 6.87938e+06
4860000 9.19885e+06 1.96761e+07 7.40422e+06 7.2587e+06 6.50199e+06 6.7317e+06
4910000 9.24738e+06 2.02716e+07 7.22734e+06 7.30865e+06 6.90728e+06 6.99928e+06
4960000 9.46223e+06 1.97829e+07 7.35054e+06 7.3344e+06 7.18953e+06 7.16917e+06
5010000 9.64635e+06 2.02094e+07 7.51267e+06 7.41078e+06 7.31172e+06 7.27303e+06
5060000 9.7001e+06 2.05219e+07 7.60739e+06 7.47328e+06 7.19984e+06 7.16739e+06
5110000 9.68653e+06 2.0849e+07 7.58349e+06 7.68491e+06 7.6522e+06 7.61313e+06
5160000 9.94216e+06 2.14143e+07 7.90541e+06 7.84839e+06 7.46536e+06 7.51237e+06
5210000 9.95786e+06 2.14563e+07 7.7686e+06 7.73088e+06 7.56171e+06 7.5723e+06
5260000 9.9608e+06 2.1428e+07 7.89357e+06 7.86638e+06 7.50531e+06 7.46111e+06
5310000 1.02159e+07 2.20702e+07 8.03201e+06 7.86301e+06 8.25376e+06 8.20085e+06
5360000 1.03452e+07 2.22984e+07 8.07976e+06 8.03106e+06 7.82134e+06 7.73945e+06
5410000 8.14805e+06 1.63621e+07 6.45858e+06 6.45585e+06 6.21142e+06 6.2725e+06
5460000 8.28424e+06 1.66767e+07 6.49858e+06 6.38798e+06 6.31866e+06 6.29067e+06
5510000 8.27773e+06 1.69273e+07 6.58805e+06 6.56981e+06 6.36518e+06 6.31696e+06
5560000 8.30822e+06 1.71702e+07 6.70481e+06 6.64567e+06 6.25178e+06 6.19324e+06
5610000 8.52511e+06 1.7362e+07 6.7809e+06 6.66981e+06 6.65596e+06 6.65973e+06
5660000 8.5875e+06 1.75753e+07 6.79862e+06 6.82974e+06 6.57683e+06 6.46578e+06
5710000 8.47524e+06 1.74627e+07 6.86283e+06 6.82396e+06 6.66215e+06 6.60476e+06
5760000 9.17686e+06 1.79989e+07 6.65354e+06 6.65034e+06 6.4504e+06 6.43692e+06
5810000 7.17641e+06 1.35973e+07 5.546e+06 5.56434e+06 5.29442e+06 5.31065e+06
5860000 6.8992e+06 1.35326e+07 5.5611e+06 5.57378e+06 5.36695e+06 5.6073e+06
5910000 7.08759e+06 1.37548e+07 5.54102e+06 5.56703e+06 5.28748e+06 5.19718e+06
5960000 7.01152e+06 1.36627e+07 5.59158e+06 5.71026e+06 5.33002e+06 5.30801e+06
6010000 6.99128e+06 1.37825e+07 5.68917e+06 5.69368e+06 5.46051e+06 5.50399e+06
6060000 7.06338e+06 1.41332e+07 5.77343e+06 5.73271e+06 5.58719e+06 5.59767e+06
6110000 7.35624e+06 1.40406e+07 5.77801e+06 5.80791e+06 5.55458e+06 5.59043e+06
6160000 7.20319e+06 1.42858e+07 5.85497e+06 5.89042e+06 5.65598e+06 5.58358e+06
6210000 1.18315e+07 2.65413e+07 9.37361e+06 9.34076e+06 8.91782e+06 8.85517e+06
6260000 1.23311e+07 2.65925e+07 9.52301e+06 9.43233e+06 8.95148e+06 8.99052e+06
6310000 1.2396e+07 2.79089e+07 9.75982e+06 9.67969e+06 9.23321e+06 9.31162e+06
6360000 1.25707e+07 2.78962e+07 9.53956e+06 9.77868e+06 9.77241e+06 9.7487e+06
6410000 1.25767e+07 2.81736e+07 9.67259e+06 9.77048e+06 9.62096e+06 9.60059e+06
6460000 1.31205e+07 2.79463e+07 9.73957e+06 9.87709e+06 1.02175e+07 9.93885e+06
6510000 1.94185e+07 2.50731e+07 8.6756e+06 8.50813e+06 8.55364e+06 8.56621e+06
6560000 1.02054e+07 2.11709e+07 7.86477e+06 7.86806e+06 8.60719e+06 8.44952e+06
6610000 9.10455e+06 1.4997e+07 6.31322e+06 6.2505e+06 5.87839e+06 5.96323e+06
6660000 7.7805e+06 1.50299e+07 6.29504e+06 6.24069e+06 6.37602e+06 6.28769e+06
6710000 7.78556e+06 1.5116e+07 6.31951e+06 6.39503e+06 6.20301e+06 6.17862e+06
6760000 7.88996e+06 1.5503e+07 6.3347e+06 6.36498e+06 6.14215e+06 6.31818e+06
6810000 8.22209e+06 1.60986e+07 6.93314e+06 6.86005e+06 6.51041e+06 6.26546e+06
6860000 7.9296e+06 1.56757e+07 6.42009e+06 6.47791e+06 6.30618e+06 6.25513e+06
6910000 8.04408e+06 1.59683e+07 6.70478e+06 7.04653e+06 6.47566e+06 6.57911e+06
6960000 8.12724e+06 1.58833e+07 6.64035e+06 6.65085e+06 6.47771e+06 6.48763e+06
7010000 8.3857e+06 1.60539e+07 6.62894e+06 6.57803e+06 6.14628e+06 6.20045e+06
7060000 8.24189e+06 1.61429e+07 6.67856e+06 6.62794e+06 6.49378e+06 6.5323e+06
7110000 1.04967e+07 2.17437e+07 8.44297e+06 8.68755e+06 8.00415e+06 8.17624e+06
7160000 1.08783e+07 2.17017e+07 8.5522e+06 8.52528e+06 8.48845e+06 8.37848e+06
7210000 8.41309e+06 1.72347e+07 6.99816e+06 6.904e+06 6.83415e+06 6.86227e+06
7260000 8.44351e+06 1.67298e+07 6.8361e+06 6.91143e+06 6.57817e+06 6.58462e+06
7310000 8.5068e+06 1.69005e+07 7.01716e+06 7.36473e+06 6.62962e+06 6.57773e+06
7360000 8.6137e+06 1.70353e+07 6.96508e+06 7.0349e+06 6.79372e+06 6.77759e+06
7410000 8.60151e+06 1.7215e+07 7.08589e+06 7.10677e+06 6.81741e+06 6.96401e+06
7460000 9.47104e+06 1.7158e+07 7.04539e+06 7.09037e+06 6.75152e+06 6.66339e+06
7510000 8.79225e+06 1.73824e+07 7.09995e+06 7.17792e+06 6.82778e+06 6.83766e+06
7560000 8.87711e+06 1.73767e+07 7.17849e+06 7.20138e+06 6.87115e+06 6.79548e+06
7610000 8.95504e+06 1.84558e+07 7.39669e+06 7.16073e+06 7.03947e+06 6.98825e+06
7660000 8.90782e+06 1.77211e+07 7.27649e+06 7.28723e+06 6.99927e+06 7.04155e+06
7710000 9.00238e+06 1.8525e+07 7.28545e+06 7.34933e+06 7.03074e+06 7.1558e+06
7760000 9.16424e+06 1.82526e+07 7.42878e+06 7.36275e+06 7.31478e+06 7.48571e+06
7810000 9.15807e+06 1.82771e+07 7.45518e+06 7.44303e+06 7.34076e+06 7.36882e+06
7860000 9.29413e+06 1.83644e+07 7.68942e+06 7.50953e+06 7.20507e+06 7.22668e+06
7910000 9.45092e+06 1.85348e+07 7.50242e+06 7.48007e+06 7.31618e+06 7.29742e+06
7960000 9.33556e+06 1.87623e+07 7.67404e+06 7.64895e+06 7.34396e+06 7.32475e+06
8010000 9.8032e+06 1.88509e+07 7.55198e+06 7.54935e+06 7.26164e+06 7.26141e+06
8060000 9.45582e+06 1.89095e+07 7.63167e+06 7.71973e+06 7.40312e+06 7.4932e+06
8110000 9.58776e+06 1.88
