n quick_det std_sort heap quick_random intro_random intro_det
5000 270099 1611.97 4706.35 2101.62 2089.17 3.12388e+06
15000 2.43089e+06 5459.67 15940.2 7118.11 7075.96 1.05805e+07
25000 6.75249e+06 9582.84 27978.4 12493.8 12419.8 1.85709e+07
35000 1.32349e+07 13861.7 40471.2 18072.4 17965.4 2.68631e+07
45000 2.18781e+07 18250.3 53284.2 23794.1 23653.2 3.53678e+07
55000 3.2682e+07 22723.7 66344.9 29626.3 29450.9 4.4037e+07
65000 4.56468e+07 27266.3 79607.6 35548.8 35338.3 5.28402e+07
75000 6.07724e+07 31867.4 93041 41547.5 41301.4 6.17568e+07
85000 7.80587e+07 36519.1 106622 47612.2 47330.2 7.07714e+07
95000 9.75059e+07 41215.4 120334 53735.1 53416.8 7.98726e+07
105000 1.19114e+08 45951.6 134162 59910 59555.2 8.90511e+07
115000 1.42883e+08 50724 148095 66132 65740.4 9.82995e+07
125000 1.68812e+08 55529.3 162125 72397 71968.2 1.07612e+08
135000 1.96902e+08 60364.9 176243 78701.5 78235.4 1.16983e+08
145000 2.27154e+08 65228.6 190443 85042.6 84538.9 1.26408e+08
155000 2.59566e+08 70118.4 204720 91417.7 90876.3 1.35885e+08
165000 2.94138e+08 75032.6 219068 97824.8 97245.4 1.45408e+08
175000 3.30872e+08 79969.8 233482 104262 103644 1.54976e+08
185000 3.69766e+08 84928.7 247960 110727 110071 1.64586e+08
195000 4.10821e+08 89908 262498 117219 116524 1.74235e+08
205000 4.54037e+08 94906.7 277093 123736 123003 1.83923e+08
215000 4.99414e+08 99923.9 291741 130277 129505 1.93646e+08
225000 5.46951e+08 104959 306441 136841 136031 2.03403e+08
235000 5.9665e+08 110010 321190 143427 142578 2.13192e+08
245000 6.48509e+08 115078 335986 150035 149146 2.23013e+08
255000 7.02529e+08 120161 350827 156662 155734 2.32864e+08
265000 7.58709e+08 125259 365711 163309 162341 2.42744e+08
275000 8.17051e+08 130372 380637 169974 168967 2.52651e+08
285000 8.77553e+08 135498 395604 176657 175611 2.62585e+08
295000 9.40216e+08 140637 410609 183358 182272 2.72545e+08
305000 1.00504e+09 145789 425651 190075 188949 2.8253e+08
315000 1.07202e+09 150954 440730 196808 195643 2.92539e+08
325000 1.14117e+09 156131 455844 203557 202352 3.02571e+08
335000 1.21248e+09 161319 470992 210322 209076 3.12625e+08
345000 1.28594e+09 166519 486173 217101 215815 3.22702e+08
355000 1.36157e+09 171729 501386 223894 222568 3.32799e+08
365000 1.43936e+09 176950 516630 230701 229335 3.42918e+08
375000 1.51931e+09 182182 531904 237522 236116 3.53056e+08
385000 1.60142e+09 187424 547208 244356 242909 3.63214e+08
395000 1.68569e+09 192675 562541 251203 249715 3.73391e+08
405000 1.77212e+09 197937 577901 258062 256534 3.83587e+08
415000 1.86071e+09 203207 593289 264934 263365 3.93801e+08
425000 1.95147e+09 208487 608704 271817 270207 4.04032e+08
435000 2.04438e+09 213775 624144 278712 277061 4.14281e+08
445000 2.13946e+09 219072 639610 285618 283927 4.24547e+08
455000 2.23669e+09 224378 655101 292536 290803 4.34829e+08
465000 2.33609e+09 229692 670616 299464 297690 4.45127e+08
475000 2.43765e+09 235014 686155 306403 304588 4.55441e+08
485000 2.54137e+09 240344 701717 313352 311496 4.65771e+08
495000 2.64724e+09 245682 717302 320311 318414 4.76115e+08
