n quick_det std_sort heap quick_random intro_random intro_det
5000 527824 1424.45 4945.15 1670.14 1682.93 5.07261e+06
15000 4.75042e+06 4824.57 16749 5656.7 5700.01 1.71807e+07
25000 1.31956e+07 8468.12 29398 9928.67 10004.7 3.01557e+07
35000 2.58634e+07 12249.3 42524.7 14362 14471.9 4.36208e+07
45000 4.27538e+07 16127.3 55987.9 18908.9 19053.7 5.74309e+07
55000 6.38667e+07 20080.4 69711.3 23543.8 23724 7.1508e+07
65000 8.92023e+07 24094.6 83646.9 28250.3 28466.6 8.58029e+07
75000 1.1876e+08 28160.4 97762 33017.4 33270.2 1.00282e+08
85000 1.52541e+08 32271 112032 37837 38126.7 1.1492e+08
95000 1.90545e+08 36421 126440 42702.8 43029.7 1.29698e+08
105000 2.3277e+08 40606.3 140969 47609.9 47974.5 1.44603e+08
115000 2.79219e+08 44823.5 155610 52554.5 52956.9 1.59621e+08
125000 3.2989e+08 49069.8 170351 57533.2 57973.7 1.74742e+08
135000 3.84784e+08 53342.9 185186 62543.3 63022.2 1.89959e+08
145000 4.439e+08 57640.9 200107 67582.5 68100 2.05264e+08
155000 5.07239e+08 61961.9 215107 72648.8 73205 2.20652e+08
165000 5.74801e+08 66304.4 230183 77740.4 78335.6 2.36116e+08
175000 6.46585e+08 70667.3 245329 82855.8 83490.1 2.51653e+08
185000 7.22591e+08 75049.3 260542 87993.6 88667.3 2.67257e+08
195000 8.02821e+08 79449.4 275817 93152.6 93865.8 2.82927e+08
205000 8.87272e+08 83866.7 291152 98331.7 99084.5 2.98657e+08
215000 9.75947e+08 88300.2 306544 103530 104323 3.14445e+08
225000 1.06884e+09 92749.4 321990 108746 109579 3.30289e+08
235000 1.16596e+09 97213.4 337487 113980 114853 3.46186e+08
245000 1.26731e+09 101692 353034 119231 120144 3.62133e+08
255000 1.37287e+09 106184 368628 124498 125451 3.78129e+08
265000 1.48266e+09 110689 384268 129780 130773 3.94172e+08
275000 1.59667e+09 115206 399951 135077 136111 4.1026e+08
285000 1.7149e+09 119736 415677 140388 141463 4.26391e+08
295000 1.83736e+09 124278 431443 145713 146828 4.42564e+08
305000 1.96403e+09 128830 447249 151051 152207 4.58777e+08
315000 2.09493e+09 133394 463093 156402 157599 4.75029e+08
325000 2.23006e+09 137969 478974 161765 163004 4.91319e+08
335000 2.3694e+09 142554 494891 167141 168420 5.07646e+08
345000 2.51297e+09 147148 510842 172528 173849 5.24009e+08
355000 2.66076e+09 151753 526827 177927 179289 5.40406e+08
365000 2.81278e+09 156367 542844 183336 184740 5.56836e+08
375000 2.96901e+09 160990 558894 188757 190202 5.73299e+08
385000 3.12947e+09 165622 574974 194188 195674 5.89794e+08
395000 3.29415e+09 170262 591085 199629 201157 6.0632e+08
405000 3.46305e+09 174912 607225 205080 206650 6.22876e+08
415000 3.63618e+09 179569 623393 210540 212152 6.39461e+08
425000 3.81353e+09 184234 639590 216010 217664 6.56075e+08
435000 3.9951e+09 188908 655814 221490 223186 6.72717e+08
445000 4.1809e+09 193589 672065 226978 228716 6.89387e+08
455000 4.37091e+09 198277 688341 232475 234255 7.06083e+08
465000 4.56515e+09 202973 704644 237981 239803 7.22805e+08
475000 4.76361e+09 207676 720971 243495 245360 7.39554e+08
485000 4.9663e+09 212386 737323 249018 250924 7.56327e+08
495000 5.1732e+09 217103 753698 254548 256497 7.73124e+08
