n,trial,insertion_comparisons,insertion_swaps,shell_comparisons,shell_swaps,gaps_used
100,1,2473,2473,809,809,"[701, 301, 132, 57, 23, 10, 4, 1]"
100,2,2504,2504,798,798,"[701, 301, 132, 57, 23, 10, 4, 1]"
100,3,3020,3020,760,760,"[701, 301, 132, 57, 23, 10, 4, 1]"
100,4,2487,2487,725,725,"[701, 301, 132, 57, 23, 10, 4, 1]"
100,5,2484,2484,796,796,"[701, 301, 132, 57, 23, 10, 4, 1]"
100,6,2882,2882,814,814,"[701, 301, 132, 57, 23, 10, 4, 1]"
100,7,2596,2596,764,764,"[701, 301, 132, 57, 23, 10, 4, 1]"
500,1,63755,63755,5950,5950,"[701, 301, 132, 57, 23, 10, 4, 1]"
500,2,60695,60695,5798,5798,"[701, 301, 132, 57, 23, 10, 4, 1]"
500,3,61885,61885,5812,5812,"[701, 301, 132, 57, 23, 10, 4, 1]"
500,4,64877,64877,5978,5978,"[701, 301, 132, 57, 23, 10, 4, 1]"
500,5,65656,65656,5923,5923,"[701, 301, 132, 57, 23, 10, 4, 1]"
500,6,65105,65105,5838,5838,"[701, 301, 132, 57, 23, 10, 4, 1]"
500,7,64841,64841,5954,5954,"[701, 301, 132, 57, 23, 10, 4, 1]"
2000,1,1001072,1001072,30942,30942,"[701, 301, 132, 57, 23, 10, 4, 1]"
2000,2,1002147,1002147,30574,30574,"[701, 301, 132, 57, 23, 10, 4, 1]"
2000,3,1001916,1001916,30320,30320,"[701, 301, 132, 57, 23, 10, 4, 1]"
2000,4,1023782,1023782,30114,30114,"[701, 301, 132, 57, 23, 10, 4, 1]"
2000,5,1012533,1012533,30541,30541,"[701, 301, 132, 57, 23, 10, 4, 1]"
2000,6,1006882,1006882,30363,30363,"[701, 301, 132, 57, 23, 10, 4, 1]"
2000,7,1011098,1011098,30654,30654,"[701, 301, 132, 57, 23, 10, 4, 1]"
